language_id,language
1,British Sign Language
2,Irish Gaelic
3,Spanish
4,Chinese
5,German - (intertitles)
6,Japanese
7,Sinhala
8,Polish - (one scene)
9,Ukrainian
10,Hawaiian
11,Korean
12,Greek
13,Serbo-Croatian
14,Inuktitut
15,Russian
16,Maya
17,Arabic - (one scene)
18,Washoe
19,Urdu
20,Punjabi
21,French
22,Bulgarian
23,Malay
24,Norwegian
25,Tibetan
26,Mongolian
27,Khmer
28,Welsh
29,Sicilian
30,Dutch
31,Albanian
32,Neapolitan
33,Syriac
34,Icelandic
35,Maori
36,Kuna
37,Serbian
38,Czech
39,Russian - (intertitles)
40,Catalan
41,Yiddish
42,German
43,Romanian
44,Danish
45,Swedish
46,Mende
47,Finnish
48,Lao
49,Latvian
50,Gaelic
51,English
52,Arabic
53,Maltese
54,Indonesian
55,Polynesian
56,Galician
57,Esperanto
58,Chechen
59,German - (archive footage)
60,Vietnamese
61,Nahuatl
62,Scottish Gaelic
63,Thai
64,Hindi
65,Afrikaans
66,Hebrew
67,Pawnee
68,Assyrian Neo-Aramaic
69,Romany
70,Georgian
71,Macedonian
72,English - (intertitles)
73,Tzotzil
74,English - (dubbed)
75,None
76,Portuguese
77,American Sign Language
78,Sioux
79,Croatian
80,Mandarin
81,English 
82,Persian
83,German - (dubbed)
84,Polish
85,Latin
86,Bengali
87,Nepali
88,Turkish
89,Hungarian
90,Assamese
91,Spanish - (on-screen text)
92,Swahili
93,Italian
94,Cantonese
95,Slovak
96,Zulu
97,Tamil
