movie_id,title,publication_year,genre_id
1,Guardians of the Galaxy,2014,6
2,Prometheus,2012,1
3,Split,2016,9
4,Sing,2016,13
5,Suicide Squad,2016,10
6,The Great Wall,2016,17
7,La La Land,2016,19
8,Mindhorn,2016,3
9,The Lost City of Z,2016,7
10,Passengers,2016,5
11,Fantastic Beasts and Where to Find Them,2016,17
12,Hidden Figures,2016,2
13,Rogue One,2016,4
14,Moana,2016,16
15,Colossal,2016,17
16,The Secret Life of Pets,2016,16
17,Hacksaw Ridge,2016,15
18,Jason Bourne,2016,13
19,Lion,2016,12
20,Arrival,2016,5
21,Gold,2016,15
22,Manchester by the Sea,2016,16
23,Hounds of Love,2016,16
24,Trolls,2016,18
25,Independence Day: Resurgence,2016,18
26,Paris pieds nus,2016,16
27,Bahubali: The Beginning,2015,18
28,Dead Awake,2016,10
29,Bad Moms,2016,6
30,Assassin's Creed,2016,10
31,Why Him?,2016,13
32,Nocturnal Animals,2016,6
33,X-Men: Apocalypse,2016,4
34,Deadpool,2016,11
35,Resident Evil: The Final Chapter,2016,10
36,Captain America: Civil War,2016,2
37,Interstellar,2014,7
38,Doctor Strange,2016,6
39,The Magnificent Seven,2016,13
40,5/25/77,2007,3
41,Sausage Party,2016,13
42,Moonlight,2016,19
43,Don't Fuck in the Woods,2016,16
44,The Founder,2016,16
45,Lowriders,2016,6
46,Pirates of the Caribbean: On Stranger Tides,2011,9
47,Miss Sloane,2016,6
48,Fallen,2016,8
49,Star Trek Beyond,2016,2
50,The Last Face,2016,3
51,Star Wars: Episode VII - The Force Awakens,2015,18
52,Underworld: Blood Wars,2016,9
53,Mother's Day,2016,1
54,John Wick,2014,10
55,The Dark Knight,2008,17
56,Silence,2016,12
57,Don't Breathe,2016,16
58,Me Before You,2016,17
59,Their Finest,2016,4
60,Sully,2016,3
61,Batman v Superman: Dawn of Justice,2016,6
62,The Autopsy of Jane Doe,2016,5
63,The Girl on the Train,2016,2
64,Fifty Shades of Grey,2015,1
65,The Prestige,2006,13
66,Kingsman: The Secret Service,2014,7
