movie_writer_pivot_id,movie_id,writer_id
1,396,8753
2,116,5628
3,104,8516
4,143,3470
5,992,8065
6,839,4502
7,622,957
8,593,2843
9,114,3586
10,640,6474
11,786,7285
12,993,4057
13,10,1217
14,57,8369
15,26,9334
16,357,4854
17,804,82
18,43,4041
19,910,1466
20,704,3243
21,658,6089
22,475,6464
23,842,8322
24,82,7377
25,546,5759
26,878,4248
27,1000,4465
28,263,339
29,346,8154
30,846,8027
31,412,5649
32,437,8803
33,932,3445
34,459,941
35,581,6131
36,516,6081
37,40,7905
38,908,9512
39,924,4338
40,521,9533
41,892,2376
42,835,6721
43,143,9051
44,279,950
45,608,3705
46,687,1224
47,374,4354
48,82,176
49,711,8912
50,70,244
51,124,180
52,492,1617
53,765,1870
54,43,6574
55,795,5925
56,849,1549
57,288,2877
58,718,5856
59,191,4436
60,486,7426
61,938,840
62,920,5693
63,93,1343
64,653,2512
65,112,2181
66,293,2845
67,448,5072
68,80,9579
69,866,151
70,190,3792
71,584,1464
72,818,946
73,647,6280
74,178,2311
75,187,117
76,975,6032
77,422,6589
78,426,907
79,296,4229
80,101,8720
81,417,6997
82,286,8910
83,879,8732
84,126,9101
85,605,1781
86,944,6766
87,317,7386
88,247,2452
89,545,2851
90,162,7877
91,977,5371
92,967,7044
93,818,6392
94,295,1936
95,275,3668
96,109,3078
97,993,1303
98,259,6468
99,112,7229
100,721,5325
101,651,4659
102,401,6478
103,977,4980
104,113,291
105,521,3598
106,901,5821
107,332,8421
108,132,2818
109,983,6064
110,902,7484
111,565,294
112,144,4437
113,674,1266
114,957,6693
115,714,4438
116,184,5726
117,547,8537
118,174,3336
119,873,1437
120,99,6471
121,492,7325
122,469,6735
123,653,4861
124,872,2505
125,413,5552
126,411,6407
127,771,703
128,290,9386
129,748,9150
130,815,1975
131,591,8724
132,932,5737
133,815,1511
134,5,3076
135,993,78
136,327,1009
137,201,4394
138,5,2545
139,837,5432
140,379,2471
141,725,8004
142,264,7428
143,276,7891
144,514,4529
145,410,879
146,892,8804
147,943,3708
148,818,5530
149,879,9338
150,586,8980
151,346,8990
152,956,1553
153,882,5743
154,411,2444
155,461,4094
156,23,50
157,613,7172
158,619,707
159,838,1598
160,126,5386
161,683,9407
162,643,5865
163,16,280
164,743,4877
165,740,9851
166,861,7129
167,212,1906
168,237,4818
169,181,5991
170,807,1874
171,756,1073
172,315,8396
173,526,4032
174,337,1991
175,696,2159
176,519,7740
177,722,857
178,386,5095
179,915,6033
180,373,3664
181,278,8479
182,373,4395
183,168,5698
184,289,2452
185,239,173
186,820,9128
187,589,7498
188,242,909
189,783,7756
190,503,1026
191,808,7246
192,45,7290
193,738,1925
194,253,9968
195,264,7336
196,155,6000
197,767,3896
198,35,2551
199,155,820
200,426,7661
201,836,8220
202,203,6307
203,595,4660
204,304,6649
205,752,9897
206,238,8194
207,883,6054
208,615,9066
209,946,8719
210,430,9430
211,763,3000
212,1000,7082
213,593,6256
214,222,4233
215,227,6824
216,836,4942
217,426,1373
218,110,3626
219,526,4677
220,375,5765
